0.444444,1,-0.620101,-0.940741,0.129032,0.167568,0.39691,-1,0.161616,1,-1,-1,-1,-1,0.289967,0.00660066,0.909091,-1,1	0.444444,0.95029,1,0,-0.95122,0.840909,-0.351472,0.885246,0.684211,-1,-1,-1,0.857143,-0.734927,1,-0.830079	0,1,-1,-0.940741,0.962158,-0.783784,0.656762,-1,-0.844444,1,0.538462,-0.0909091,-0.893333,-1,-0.754768,0.737948,-1,-1,1
0.5,1,1,-0.821818,0.969431,1,1,0.833564,0.92,0.634615,1,1,1,1,0.789116,1,1,1	0.5,1,1,0,1,1,0.983165,0.590854,1,0.934959,1,0.909465,1,1,0.391534,1,1,1	0,-0.821818,-1,1,0.478261,-1,-0.738562,1,0.575342
-0.340659,0.528564,-0.746202,-0.9381,0.443728,-1,-0.810576,0.505965,-1,-0.913546,0.836529,-1,-1,-0.108179,-1,-0.877026,0.593643,-0.676033,-1,0.904931	-0.0769231,0.669291,-0.561028,0,1,-1,-0.582205,-0.157192,-1,-0.473684,0.904762,-1,1,0.511628,0.0559065,1,-1,0.980645	-0.270833,-0.217765,-0.318518,-0.9381,-1,-0.272727,-0.432457,0.614299,0.438561,-0.775403,-0.280632,-0.534884,-1,-1,-1,-0.958544,0.556196,-1,-0.163277,-0.672515
0.888889,0.93763,1,-0.272727,-0.802223,0.83507,-0.0299283,-0.246575,0.674556,0.684211,-1,-0.964736,-1,0.857143,-0.609334,1,-0.861953	0.888889,1,-0.620101,-0.836478,0.71664,0.133977,0.36798,-0.968575,0.489474,0.651613,-1,-0.985154,-1,-1,0.289967,-0.188218,0.909091,-1,1	0,-1,1,0.73037,-0.964416,0.789413,-0.393574,0.948535,0.276316,0.0588235,-0.538462,0.411765,0.9,1,0.754768,-0.47567,1,1,-1
-0.383394,0.470441,-0.653338,-0.0819562,-0.955024,-1,-0.820436,-0.641265,0.149112,-0.694086,-0.922275,-0.194245,-1,-0.658537,-0.930616,-0.932745,-0.743277,-0.33049,-0.900427,-0.882461	-0.136752,0.655912,-0.74476,0.809524,0.129032,-1,-0.794926,-0.522733,-0.824426,0.197416,-0.895561,0.895385,-1,-0.712821,0.481481,-0.137423,-0.76133,0.9625,-0.994238,1	-0.260289,-0.268242,0.178064,-0.836014,-0.965125,-0.272727,-0.0733429,-0.178299,0.866961,-0.784066,-0.153488,-0.928194,-0.252581,0.10231,-0.975155,-0.912255,0.0415856,-0.980952,0.895474,-1
-0.395604,0.528564,-0.746202,-0.88728,0.463354,-1,-0.817566,0.18818,-0.821343,-0.909437,0.836529,-1,-1,-0.144845,-1,-0.877026,0.666053,-0.676033,-1,0.904931	-0.153846,0.669291,-0.561028,0.0287081,0.818501,-0.583783,0.00869917,-0.932933,-0.437247,0.904762,-1,1,0.511628,0.397414,1,-1,0.980645	-0.257426,-0.217765,-0.318518,-0.893236,-0.572132,-1,-0.447245,0.179775,0.477405,-0.783912,-0.280632,-0.534884,-1,-1,-1,-0.958544,0.365345,-1,0.889398,-0.672515
0.7,-1,-1,0.827751,-0.997095,-1,-1,-0.699115,-0.936599,-0.60788,-1,-1,-0.964736,-1,-1,-1,-0.97897,-1,-1,-0.986446	0.888889,-1,0.827751,1,-1,0.149758,1,-0.0206186,1,-1,-0.642857,-0.5	-0.5,0.555556,-1,0,-1,-1,-0.929687,-0.768421,-1,-0.594715,-1,-1,-1,-0.912629,-1,-1,-0.906788,-1,-1,-0.959881
-0.107692,-1,1,0.964835,-1,-1,-0.631847,1,0.875824,-0.975062,0,-0.214953,0.037037,1,0.268293,-0.969559,0.485714,1,-0.987976	-0.539683,-1,-0.567123,0.964835,-1,-1,-0.534622,-0.372141,-0.377144,-0.973226,0.977528,1,1,1,-0.41573,-0.927909,-0.636364,-0.785124,-0.65	0.458647,0.766082,1,0,-1,1,0.887883,-0.146822,1,0.94186,-0.0359712,-0.977528,-1,-1,0.615385,-0.415091,0.857143,1,-0.944553
-0.153846,0.303696,1,-1,-0.204013,1,-0.202136,-1,0.745473	-0.607143,-1,-1,0.825175,-0.986207,-1,-1,-0.765517,-0.972144,-0.965135,-1,-1,-1,-1,-1,-0.175772,-1,-1,-1	0.5,1,1,-0.695864,1,1,0.994128,0.665428,1,0.947929,1,1,0.828927,1,1,0.814516,1,1,1
-0.153846,1,-1,-0.851673,1,0.812906,0.574038,-0.828676,-0.749414,0.975062,0,-0.286554,-0.076728,-1,-0.268293,0.969902,-0.485714,-1,0.987976	-0.917293,-0.60396,-1,0.347962,0.864221,-0.883851,0.0250671,-0.923213,-0.748772,0.0359712,0.977528,0.964736,1,-0.615385,0.542141,-0.857143,-1,0.971887	0.888889,1,0.567123,-0.925395,1,0.987355,0.556985,0.402358,-0.00146182,0.973226,-0.977528,-0.98029,-1,-1,0.41573,0.902113,0.636364,0.989915,0.404255
